ID,Education,Subjects
1,Applied Psychology,Psychology Statistics Counseling Research
2,Blockchain Technology,Cryptography Distributed_Systems Programming Security
3,Clinical Nutrition,Biology Dietetics Biochemistry Physiology
4,Computational Physics,Physics Mathematics Programming Simulation
5,Development Studies,Economics Sociology Policy Governance
6,Financial Economics,Economics Finance Statistics Markets
7,Game Design,Storytelling UX Programming Animation
8,International Relations,History Politics Diplomacy Economics
9,Public Health,Epidemiology Biostatistics Policy Community_Health
10,Robotics,Mechanics Electronics Programming Control_Systems
