ID,Exam,Subjects,Outcomes
1,APSET,Subject_Knowledge Teaching_Aptitude Reasoning,Assistant Professor Eligibility
2,CAT,Quant Verbal LRDI,Top MBA Admissions
3,CLAT PG,Constitution IPC Contract_Law Jurisprudence,LLM Admissions
4,CUET PG,Domain_Subject General_Aptitude,PG University Admissions
5,GRE,Quant Verbal Analytical_Writing,MS Abroad Admissions
6,MAT,Language_Comprehension Math Intelligence_Data_Analysis,Management Admissions
7,NABARD Grade A,Economics Agriculture Reasoning English,Development Banking Roles
8,UGC NET,Subject_Knowledge Teaching_Research_Aptitude,Assistant Professor JRF
9,XAT,Decision_Making Quant Verbal,XLRI and Other MBA Admissions
10,GMAT,Quant Verbal Data_Insights,Global MBA Admissions
