skill_name,source_terms
Advertising,"Ads, ads"
Agriculture,Agri
Analysis,"Analysis, analysis"
Analytics,"Analytics, analytics"
Animal Care,Animal
Artificial Intelligence,"AI, Ai"
Audio,Audio
Baking,Baking
Billing,"Billing, billing"
Booking,"Booking, booking"
Branding,"Branding, branding"
Building,"Building, building"
CAD,"CAD, Cad"
CRM,"CRM, Crm"
Care,"Care, care"
Carpentry,Carpentry
Chemical,Chemical
Child,Child
Cinematography,"Cinematography, cinematography"
Client Management,"Client, client"
Communication,"Communication, communication"
Community,"Community, community"
Compliance,"Compliance, compliance"
Consistency,"Consistency, consistency"
Consulting,"Consulting, consulting"
Content Creation,"Content, content"
Control,"Control, control"
Cooking,Cooking
Coordination,"Coordination, coordination"
Cost Management,"Cost, cost"
Costing,"Costing, costing"
Creation,"Creation, creation"
Creativity,"Creative, Creativity, creativity"
Crop,"Crop, crop"
Culture,"Culture, culture"
Curriculum,"Curriculum, curriculum"
Customer Service,"Customer, customer"
Data Management,"Data, data"
Delivery,"Delivery, delivery"
Demo,"Demo, demo"
Deployment,"Deployment, deployment"
Design,Design
Detailing,Detailing
Development,"Dev, Development, dev"
Diagnosis,Diagnosis
Diagnostics,"Diagnostics, diagnostics"
Distribution,"Distribution, distribution"
Documentation,"Documentation, documentation"
Editing,"Editing, editing"
Electrical,Electrical
Estimation,"Estimation, estimation"
Evaluation,"Evaluation, evaluation"
Event,Event
Execution,"Execution, execution"
Facility,Facility
Farm,Farm
Fast,"Fast, fast"
Feed,"Feed, feed"
Filming,Filming
Finishing,"Finishing, finishing"
Flying,Flying
Food,Food
Formulation,"Formulation, formulation"
Green,Green
Grooming,Grooming
Guidance,Guidance
Handling,"Handling, handling"
Hardware,Hardware
Hiring,Hiring
Hygiene,"Hygiene, hygiene"
Infrastructure,Infrastructure
Innovation,"Innovation, innovation"
Integration,"Integration, integration"
Interviewing,"Interviewing, interviewing"
Inventory Management,"Inventory, inventory"
Knowledge,"Knowledge, knowledge"
Leadership,Leadership
Logistics,"Logistics, logistics"
Machine,"Machine, machine"
Maintenance,"Maintenance, maintenance"
Management,"Management, Mgmt, management, mgmt"
Market,Market
Marketing,"Marketing, marketing"
Materials,"Materials, materials"
Medicine,Medicine
Menu,Menu
Merchandising,"Merchandising, merchandising"
Negotiation,"Negotiation, negotiation"
Nutrition,Nutrition
Onboarding,"Onboarding, onboarding"
Operations,"Operation, Operations, Ops, operation, operations, ops"
Optimization,"Optimization, optimization"
Order,"Order, order"
Packaging,"Packaging, packaging"
Piloting,Piloting
Placement,"Placement, placement"
Planning,"Planning, planning"
Pricing,"Pricing, pricing"
Printing,"Printing, printing"
Problem,Problem
Process,Process
Processing,Processing
Product,Product
Production,"Production, production"
Programming,Programming
Project,Project
Prototyping,"Prototyping, prototyping"
Purity,"Purity, purity"
Quality Assurance,"QA, Qa"
Quality Control,"QC, Qc"
Quality Management,"Quality, quality"
Reading,"Reading, reading"
Recipe,Recipe
Results,"Results, results"
Retention,"Retention, retention"
Risk,Risk
Road,"Road, road"
Route,Route
Routing,Routing
SEO,"SEO, Seo"
SOP,"SOP, Sop"
Safety,"Safety, safety"
Sales,"Sales, sales"
Scheduling,"Scheduling, scheduling"
Scripting,"Scripting, scripting"
Service,"Service, service"
Setup,"Setup, setup"
Shooting,Shooting
Software,"Software, software"
Soil,Soil
Solar,Solar
Soldering,"Soldering, soldering"
Solving,"Solving, solving"
Sourcing,"Sourcing, sourcing"
Speed,"Speed, speed"
Standardization,"Standardization, standardization"
Stock,Stock
Storage,"Storage, storage"
Storytelling,Storytelling
Strategy,"Strategy, strategy"
Styling,Styling
Supply,Supply
Support,"Support, support"
Syllabus,"Syllabus, syllabus"
Teaching,"Teaching, teaching"
Technology,"Tech, tech"
Temperature,"Temperature, temperature"
Testing,"Testing, testing"
Tracking,"Tracking, tracking"
Training,Training
Trends,"Trends, trends"
Trust,"Trust, trust"
UX,"UX, Ux"
Vehicle,Vehicle
Welding,Welding
Wind,"Wind, wind"
Wiring,Wiring
Writing,Writing
