skill_name,skill_name_original
Advertising,Ads
Agriculture,Agri
AI,Ai
Data Analysis,Analysis
Animal,Animal
Audio,Audio
Baking,Baking
Billing,Billing
Booking,Booking
Branding,Branding
Building,Building
CAD,Cad
Care,Care
Carpentry,Carpentry
Chemical,Chemical
Child,Child
Cinematography,Cinematography
Client,Client
Communication,Communication
Community,Community
Compliance,Compliance
Consistency,Consistency
Consulting,Consulting
Content,Content
Control,Control
Cooking,Cooking
Coordination,Coordination
Costing,Cost
Creation,Creation
Creative,Creative
Creativity,Creativity
CRM,Crm
Crop,Crop
Culture,Culture
Curriculum,Curriculum
Customer,Customer
Data,Data
Delivery,Delivery
Demo,Demo
Deployment,Deployment
Design,Design
Detailing,Detailing
Development,Dev
Diagnostics,Diagnosis
Distribution,Distribution
Documentation,Documentation
Editing,Editing
Electrical,Electrical
Estimation,Estimation
Evaluation,Evaluation
Event,Event
Execution,Execution
Facility,Facility
Farm,Farm
Fast,Fast
Feed,Feed
Filming,Filming
Finishing,Finishing
Flying,Flying
Food,Food
Formulation,Formulation
Green,Green
Grooming,Grooming
Guidance,Guidance
Handling,Handling
Hardware,Hardware
Hiring,Hiring
Hygiene,Hygiene
Infrastructure,Infrastructure
Innovation,Innovation
Integration,Integration
Interviewing,Interviewing
Inventory,Inventory
Knowledge,Knowledge
Leadership,Leadership
Logistics,Logistics
Machine,Machine
Maintenance,Maintenance
Management,Management
Market,Market
Marketing,Marketing
Materials,Materials
Medicine,Medicine
Menu,Menu
Merchandising,Merchandising
Negotiation,Negotiation
Nutrition,Nutrition
Onboarding,Onboarding
Operations,Operation
Optimization,Optimization
Order,Order
Packaging,Packaging
Piloting,Piloting
Placement,Placement
Planning,Planning
Pricing,Pricing
Printing,Printing
Problem,Problem
Process,Process
Processing,Processing
Product,Product
Production,Production
Programming,Programming
Project,Project
Prototyping,Prototyping
Purity,Purity
Quality Assurance,Qa
Quality Control,Qc
Quality,Quality
Reading,Reading
Recipe,Recipe
Results,Results
Retention,Retention
Risk,Risk
Road,Road
Routing,Route
Safety,Safety
Sales,Sales
Scheduling,Scheduling
Scripting,Scripting
SEO,Seo
Service,Service
Setup,Setup
Shooting,Shooting
Software,Software
Soil,Soil
Solar,Solar
Soldering,Soldering
Solving,Solving
SOP,Sop
Sourcing,Sourcing
Speed,Speed
Standardization,Standardization
Stock,Stock
Storage,Storage
Storytelling,Storytelling
Strategy,Strategy
Styling,Styling
Supply,Supply
Support,Support
Syllabus,Syllabus
Teaching,Teaching
Technology,Tech
Temperature,Temperature
Testing,Testing
Tracking,Tracking
Training,Training
Trends,Trends
Trust,Trust
UX Design,Ux
Vehicle,Vehicle
Welding,Welding
Wind,Wind
Wiring,Wiring
Writing,Writing
