ID,Job,Category,Physical_Skills,Technical_Skills,Mental_Skills
1,AI Engineer,Private,Low_Endurance,Python ML DL Math Stats,System_Thinking Research Patience
2,Airforce Technical,Government,High_Stamina,Aircraft_Systems Electronics Radar,Discipline Alertness
3,Android Developer,Private,Low_Endurance,Java Kotlin Android_SDK APIs,Logic Creativity
4,Army (GD),Government,High_Stamina Strength Height Chest,Weapons Tactics Survival,Discipline Courage Stress_Control
5,Assistant Professor,Government,Low_Endurance,Subject_Mastery Research Teaching,Patience Communication
6,Automation Engineer,Private,Medium_Endurance,PLC SCADA Robotics Sensors,Problem_Solving Precision
7,Backend Developer,Private,Low_Endurance,Java Python Node DB APIs,Logic Debugging
8,Bank Clerk,Government,Low_Endurance,Banking Ops Accounting IT,Accuracy Responsibility
9,Business Analyst,Private,Low_Endurance,Excel SQL Docs UML,Critical_Thinking Communication
10,Brand Manager,Private,Low_Endurance,Branding Analytics Campaigns,Strategic_Thinking Creativity
11,Carpenter,Private,High_Strength,Woodwork Tools Measurement,Precision Patience
12,Chartered Accountant,Private,Low_Endurance,Accounting Tax Audit Law,Judgement Ethics
13,Civil Site Engineer,Private,Medium_Endurance,Drawings Surveying Concrete,Field_Management Decision
14,Cloud Engineer,Private,Low_Endurance,AWS Azure Linux CI_CD,Reliability Crisis_Handling
15,Content Writer,Private,Low_Endurance,SEO Writing Research,Creativity Focus
16,Corporate Trainer,Government,Low_Endurance,Training Design Presentation,Motivation Communication
17,Credit Manager,Private,Low_Endurance,Credit_Risk Finance Analysis,Judgement Accountability
18,Customer Support Executive,Private,Low_Endurance,CRM Tools Product_Knowledge,Patience Empathy
19,Data Analyst,Private,Low_Endurance,SQL Python Excel Stats,Analytical_Thinking
20,Data Engineer,Private,Low_Endurance,ETL SQL Spark Cloud,Structured_Thinking
21,Database Administrator,Private,Low_Endurance,SQL Backup Security Tuning,Attention_Detail
22,Defense Scientist (DRDO),Government,Low_Endurance,Research Engineering Simulation,Innovation Focus
23,Delivery Executive,Private,High_Endurance,Navigation App Handling,Reliability Time_Management
24,DevOps Engineer,Private,Low_Endurance,Docker Kubernetes CI_CD Linux,Ownership Calm
25,Digital Marketing Manager,Private,Low_Endurance,SEO SEM Ads Analytics,Creativity Analysis
26,Electrician,Private,Medium_Strength,Wiring Panels Safety Codes,Alertness Precision
27,Embedded Systems Engineer,Private,Low_Endurance,C Embedded RTOS Hardware,Debug_Patience
28,Event Manager,Private,Medium_Endurance,Planning Vendors Budgeting,Multitasking Leadership
29,Factory Supervisor,Private,Medium_Endurance,Production Planning Quality,Team_Handling
30,Financial Analyst,Private,Low_Endurance,Modeling Valuation Excel,Analytical_Rigor
31,Fireman,Government,Very_High_Stamina,Rescue Equipment Fire_Safety,Bravery Calm
32,Forest Guard,Government,High_Stamina,Patrolling Wildlife Law,Alertness Endurance
33,Forest Watcher,Government,High_Stamina,Tracking Survival GPS,Observation Discipline
34,Frontend Developer,Private,Low_Endurance,HTML CSS JS React,Creativity UX
35,Game Tester,Private,Low_Endurance,Testing Bug_Tracking,Attention_Patience
36,GIS Analyst,Private,Low_Endurance,GIS Tools Mapping Data,Spatial_Thinking
37,Graphic Designer,Private,Low_Endurance,Photoshop Illustrator UI,Creativity Detail
38,Growth Manager,Private,Low_Endurance,Funnels Analytics A_B_Testing,Experimentation
39,Hardware Engineer,Private,Low_Endurance,Circuits PCB Testing,Precision Logic
40,Health Inspector,Government,Medium_Endurance,Public_Health Rules Inspection,Responsibility Ethics
41,Home Guard,Government,High_Stamina,Crowd_Control Emergency_Response,Service_Mindset
42,HR Executive,Private,Low_Endurance,Recruitment Payroll HRMS,People_Skills
43,HR Manager,Private,Low_Endurance,HR_Strategy Labour_Laws,Leadership Empathy
44,Industrial Safety Officer,Private,Medium_Endurance,Safety_Audits Regulations,Risk_Awareness
45,Insurance Officer,Government,Low_Endurance,Policies Claims Risk,Judgement
46,Investment Banker,Private,Low_Endurance,Valuation Deals Markets,Stress_Tolerance
47,IT Support Engineer,Private,Low_Endurance,OS Networking Hardware,Troubleshooting
48,Journalist,Private,Medium_Endurance,Reporting Editing Research,Curiosity Ethics
49,Lab Technician,Private,Low_Endurance,Lab_Equipment Procedures,Accuracy
50,Lecturer,Government,Low_Endurance,Teaching Subject_Plan,Patience Clarity
51,Logistics Manager,Private,Low_Endurance,Inventory Transport ERP,Coordination
52,Machine Operator,Private,Medium_Strength,Machine_Control Safety,Focus Discipline
53,Maintenance Engineer,Private,Medium_Endurance,Preventive_Maintenance Tools,Problem_Solving
54,Management Consultant,Private,Low_Endurance,Frameworks Analysis PPT,Strategic_Thinking
55,Management Trainee,Private,Low_Endurance,Business Basics Reporting,Adaptability
56,Marketing Executive,Private,Low_Endurance,Campaigns CRM Outreach,Persuasion
57,Mechanical Technician,Private,Medium_Strength,Repair Tools Drawings,Practical_Thinking
58,Medical Lab Technician,Private,Low_Endurance,Pathology Tests Equipment,Accuracy
59,Meter Reader (Electricity),Government,Medium_Endurance,Reading Devices Billing,Reliability
60,Network Engineer,Private,Low_Endurance,Routing Switching Firewalls,Logical_Thinking
61,Operations Lead,Private,Low_Endurance,Process Metrics Execution,Leadership
62,Operations Manager,Private,Low_Endurance,KPIs Process_Design,Decision_Making
63,Petroleum Engineer,Government,Medium_Endurance,Drilling Safety Reservoirs,Stress_Handling
64,Pharmacist,Private,Low_Endurance,Medicines Dispensing Law,Responsibility
65,Photographer,Private,Medium_Endurance,Camera Editing Lighting,Creativity Patience
66,Police Constable,Government,High_Stamina,Law Control Weapons,Alertness Integrity
67,Post Office GDS,Government,Medium_Endurance,Postal Ops IT,Reliability
68,Product Manager,Private,Low_Endurance,Product_Lifecycle Tech_Basics,Vision Decision
69,Production Supervisor,Private,Medium_Endurance,Scheduling Quality Control,Team_Handling
70,Project Coordinator,Private,Low_Endurance,Planning Tools Documentation,Time_Management
71,QA Engineer,Private,Low_Endurance,Manual Automation Testing,Detail_Orientation
72,Quality Control Inspector,Private,Low_Endurance,Inspection Standards,Accuracy
73,Railway Group D,Government,High_Stamina,Track Maintenance Tools,Endurance
74,Railway NTPC Clerk,Government,Low_Endurance,Clerical IT Accounts,Accuracy
75,Receptionist,Private,Low_Endurance,Office Tools Communication,Politeness
76,Research Assistant,Government,Low_Endurance,Data Collection Analysis,Focus
77,Retail Store Manager,Private,Medium_Endurance,Inventory Sales POS,Customer_Handling
78,Risk Analyst,Private,Low_Endurance,Models Compliance Stats,Critical_Thinking
79,Sales Manager,Private,Low_Endurance,Sales Strategy CRM,Negotiation
80,Security Guard,Private,High_Stamina,Surveillance Access_Control,Alertness
81,Site Supervisor,Private,Medium_Endurance,Construction Supervision,Leadership
82,Software Engineer,Private,Low_Endurance,Programming DSA Systems,Problem_Solving
83,SSC CHSL Clerk,Government,Low_Endurance,Office Admin Computers,Accuracy
84,SSC GD,Government,High_Stamina,Security Weapons Drill,Discipline
85,SSC JE,Government,Low_Endurance,Engineering Design Codes,Analytical_Thinking
86,SSC MTS,Government,Medium_Endurance,Office Support Basics,Responsibility
87,Store Keeper,Private,Medium_Endurance,Inventory Records ERP,Organization
88,Strategy Analyst,Private,Low_Endurance,Market Research Models,Strategic_Thinking
89,Supply Chain Analyst,Private,Low_Endurance,Forecasting Logistics Data,Planning
90,System Administrator,Private,Low_Endurance,Servers Linux Backup,Reliability
91,Technical Recruiter,Private,Low_Endurance,Sourcing Tech_Roles,Judgement
92,Technician,Private,Medium_Strength,Repair Maintenance Tools,Practical_Sense
93,Telecom Engineer,Private,Low_Endurance,Networks RF Switching,Analytical_Thinking
94,Test Automation Engineer,Private,Low_Endurance,Selenium Scripts CI,Precision
