raw_skill,standardized_skill
Ads,Advertising
Agri,Agriculture
Ai,AI
Animal,Animal
Audio,Audio
Baking,Baking
Billing,Billing
Booking,Booking
Branding,Branding
Building,Building
Cad,CAD
Care,Care
Carpentry,Carpentry
Chemical,Chemical
Child,Child
Cinematography,Cinematography
Client,Client
Communication,Communication
Community,Community
Compliance,Compliance
Consistency,Consistency
Consulting,Consulting
Content,Content
Control,Control
Cooking,Cooking
Coordination,Coordination
Cost,Costing
Costing,Costing
Creation,Creation
Creative,Creative
Creativity,Creativity
Crm,CRM
Crop,Crop
Culture,Culture
Curriculum,Curriculum
Customer,Customer
Data,Data
Analysis,Data Analysis
Analytics,Data Analysis
Delivery,Delivery
Demo,Demo
Deployment,Deployment
Design,Design
Detailing,Detailing
Dev,Development
Development,Development
Diagnosis,Diagnostics
Diagnostics,Diagnostics
Distribution,Distribution
Documentation,Documentation
Editing,Editing
Electrical,Electrical
Estimation,Estimation
Evaluation,Evaluation
Event,Event
Execution,Execution
Facility,Facility
Farm,Farm
Fast,Fast
Feed,Feed
Filming,Filming
Finishing,Finishing
Flying,Flying
Food,Food
Formulation,Formulation
Green,Green
Grooming,Grooming
Guidance,Guidance
Handling,Handling
Hardware,Hardware
Hiring,Hiring
Hygiene,Hygiene
Infrastructure,Infrastructure
Innovation,Innovation
Integration,Integration
Interviewing,Interviewing
Inventory,Inventory
Knowledge,Knowledge
Leadership,Leadership
Logistics,Logistics
Machine,Machine
Maintenance,Maintenance
Management,Management
Mgmt,Management
Market,Market
Marketing,Marketing
Materials,Materials
Medicine,Medicine
Menu,Menu
Merchandising,Merchandising
Negotiation,Negotiation
Nutrition,Nutrition
Onboarding,Onboarding
Operation,Operations
Operations,Operations
Ops,Operations
Optimization,Optimization
Order,Order
Packaging,Packaging
Piloting,Piloting
Placement,Placement
Planning,Planning
Pricing,Pricing
Printing,Printing
Problem,Problem
Process,Process
Processing,Processing
Product,Product
Production,Production
Programming,Programming
Project,Project
Prototyping,Prototyping
Purity,Purity
Quality,Quality
Qa,Quality Assurance
Qc,Quality Control
Reading,Reading
Recipe,Recipe
Results,Results
Retention,Retention
Risk,Risk
Road,Road
Route,Routing
Routing,Routing
Safety,Safety
Sales,Sales
Scheduling,Scheduling
Scripting,Scripting
Seo,SEO
Service,Service
Setup,Setup
Shooting,Shooting
Software,Software
Soil,Soil
Solar,Solar
Soldering,Soldering
Solving,Solving
Sop,SOP
Sourcing,Sourcing
Speed,Speed
Standardization,Standardization
Stock,Stock
Storage,Storage
Storytelling,Storytelling
Strategy,Strategy
Styling,Styling
Supply,Supply
Support,Support
Syllabus,Syllabus
Teaching,Teaching
Tech,Technology
Temperature,Temperature
Testing,Testing
Tracking,Tracking
Training,Training
Trends,Trends
Trust,Trust
Ux,UX Design
Vehicle,Vehicle
Welding,Welding
Wind,Wind
Wiring,Wiring
Writing,Writing
